draftPickID,Year,Team ID,Lg,Rd,Pk,Player,College,G
1,2018,Golden State Warriors,NBA,1,28,Jacob Evans, evansja02,University of Cincinnati
2,2016,Golden State Warriors,NBA,1,30,Damian Jones, jonesda03,Vanderbilt University
3,2015,Golden State Warriors,NBA,1,30,Kevon Looney, looneke01,University of California Los Angeles
4,2012,Golden State Warriors,NBA,1,7,Harrison Barnes, barneha02,University of North Carolina
5,2012,Golden State Warriors,NBA,1,30,Festus Ezeli, ezelife01,Vanderbilt University
6,2012,Golden State Warriors,NBA,2,35,Draymond Green, greendr01,Michigan State University
7,2012,Golden State Warriors,NBA,2,52,Ognjen Kuzmic, kuzmiog01,
8,2011,Golden State Warriors,NBA,1,11,Klay Thompson, thompkl01,Washington State University
9,2011,Golden State Warriors,NBA,2,44,Charles Jenkins, jenkich01,Hofstra University
10,2010,Golden State Warriors,NBA,1,6,Ekpe Udoh, udohek01,Baylor University
11,2009,Golden State Warriors,NBA,1,7,Stephen Curry, curryst01,Davidson College
12,2008,Golden State Warriors,NBA,1,14,Anthony Randolph, randoan01,Louisiana State University
13,2008,Golden State Warriors,NBA,2,49,Richard Hendrix,University of Alabama,
14,2007,Golden State Warriors,NBA,1,18,Marco Belinelli, belinma01,
15,2007,Golden State Warriors,NBA,2,36,Jermareo Davidson, davidje01,University of Alabama
16,2007,Golden State Warriors,NBA,2,46,Stephane Lasme, lasmest01,University of Massachusetts Amherst
17,2006,Golden State Warriors,NBA,1,9,Patrick O'Bryant, obryapa01,Bradley University
18,2006,Golden State Warriors,NBA,2,38,Kosta Perovic, perovko01,
19,2005,Golden State Warriors,NBA,1,9,Ike Diogu, dioguik01,Arizona State University
20,2005,Golden State Warriors,NBA,2,40,Monta Ellis, ellismo01,
21,2005,Golden State Warriors,NBA,2,42,Chris Taft, taftch01,University of Pittsburgh
22,2004,Golden State Warriors,NBA,1,11,Andris Biedrins, biedran01,
23,2003,Golden State Warriors,NBA,1,11,Mickael Pietrus, pietrmi01,
24,2003,Golden State Warriors,NBA,2,40,Derrick Zimmerman, zimmede01,Mississippi State University
25,2002,Golden State Warriors,NBA,1,3,Mike Dunleavy, dunlemi02,Duke University
26,2002,Golden State Warriors,NBA,2,30,Steve Logan,University of Cincinnati,
27,2001,Golden State Warriors,NBA,1,5,Jason Richardson, richaja01,Michigan State University
28,2001,Golden State Warriors,NBA,1,14,Troy Murphy, murphtr01,University of Notre Dame
29,2001,Golden State Warriors,NBA,2,31,Gilbert Arenas, arenagi01,University of Arizona
30,2000,Golden State Warriors,NBA,2,55,Chris Porter, portech01,Auburn University
31,1999,Golden State Warriors,NBA,1,21,Jeff Foster, fosteje01,Texas State University
32,1999,Golden State Warriors,NBA,2,56,Tim Young, youngti01,Stanford University
33,1998,Golden State Warriors,NBA,1,5,Vince Carter, cartevi01,University of North Carolina
34,1997,Golden State Warriors,NBA,1,8,Adonal Foyle, foylead01,Colgate University
35,1997,Golden State Warriors,NBA,2,37,Marc Jackson, jacksma02,Temple University
36,1996,Golden State Warriors,NBA,1,11,Todd Fuller, fulleto02,North Carolina State University
37,1996,Golden State Warriors,NBA,2,40,Marcus Mann,Mississippi Valley State University,
38,1995,Golden State Warriors,NBA,1,1,Joe Smith, smithjo02,University of Maryland
39,1995,Golden State Warriors,NBA,2,34,Andrew DeClercq, declean01,University of Florida
40,1995,Golden State Warriors,NBA,2,40,Dwayne Whitfield, whitfdw01,Jackson State University
41,1995,Golden State Warriors,NBA,2,50,Martin Lewis, lewisma01,Seward County Community College
42,1995,Golden State Warriors,NBA,2,55,Michael McDonald, mcdonmi01,University of New Orleans
43,1994,Golden State Warriors,NBA,1,16,Clifford Rozier, roziecl01,University of Louisville
44,1994,Golden State Warriors,NBA,2,39,Anthony Miller, millean01,Michigan State University
45,1994,Golden State Warriors,NBA,2,45,Dwayne Morton, mortodw01,University of Louisville
46,1993,Golden State Warriors,NBA,1,3,Anfernee Hardaway, hardaan01,University of Memphis
47,1993,Golden State Warriors,NBA,2,34,Darnell Mee, meeda01,Western Kentucky University
48,1992,Golden State Warriors,NBA,1,24,Latrell Sprewell, sprewla01,University of Alabama
49,1992,Golden State Warriors,NBA,2,43,Sasha Danilovic, danilsa01,
50,1992,Golden State Warriors,NBA,2,50,Matt Fish, fishma01,University of North Carolina at Wilmington
51,1991,Golden State Warriors,NBA,1,16,Chris Gatling, gatlich01,Old Dominion University
52,1991,Golden State Warriors,NBA,1,17,Victor Alexander, alexavi01,Iowa State University
53,1991,Golden State Warriors,NBA,1,25,Shaun Vandiver,University of Colorado,
54,1991,Golden State Warriors,NBA,2,43,Lamont Strothers, strotla01,Christopher Newport University
